molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4467828,N#Cc1ccc(Cn2nccc2-c2cc(Cl)c3nnn(-c4ccc5cn[nH]c5c4)c3c2)cc1,450.89300000000014,4.733680000000003,1.0,7.0,7.657577319177793
CHEMBL4465633,Clc1ccc(Cl)c(Cn2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)n1,461.31600000000014,4.910400000000004,1.0,7.0,6.318758762624412
CHEMBL4469265,Clc1ccc(Cn2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)nc1,426.87100000000015,4.257000000000002,1.0,7.0,6.790484985457369
CHEMBL4436273,Clc1cccnc1Cn1nccc1-c1ccc2nnn(-c3ccc4cn[nH]c4c3)c2c1,426.8710000000001,4.257000000000002,1.0,7.0,5.170696227168975
CHEMBL4581829,N#Cc1ccc(Cn2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)nc1,417.43600000000015,3.4752800000000006,1.0,8.0,7.2441251443275085
CHEMBL4463759,Fc1cc(Cl)ccc1Cn1nccc1-c1ccc2nnn(-c3ccc4cn[nH]c4c3)c2c1,443.87300000000016,5.001100000000004,1.0,6.0,7.267606240177032
CHEMBL4549571,Clc1ccc(Cn2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)c(Cl)c1,460.3280000000002,5.515400000000003,1.0,6.0,7.346787486224656
CHEMBL4516795,N#Cc1ccc(Cn2nccc2-c2cc(F)c3nnn(-c4ccc5[nH]c(=O)[nH]c5c4)c3c2)cc1,477.31500000000017,4.203700000000002,2.0,7.0,3.94692155651658
CHEMBL4454426,N#Cc1ccc(Cn2nccc2-c2cc3c(cn2)nnn3-c2ccc3[nH]c(=O)[nH]c3c2)c(Cl)c1,477.3150000000001,4.203700000000002,2.0,7.0,3.8601209135987635
CHEMBL4527142,O=c1[nH]c2ccc(-n3nnc4cnc(-c5ccnn5Cc5ccc(Cl)cc5Cl)cc43)cc2[nH]1,467.88000000000017,3.4219800000000005,2.0,8.0,4.008773924307505
CHEMBL4522718,O=c1[nH]c2ccc(-n3nnc4c(Cl)cc(-c5ccnn5Cc5ccc(Cl)cn5)cc43)cc2[nH]1,434.4380000000001,4.219380000000002,1.0,7.0,3.910094888560602
CHEMBL4456158,N#Cc1ccc(Cn2nccc2-c2cc(Cl)c3nnn(-c4ccc5[nH]c(=O)[nH]c5c4)c3c2)nc1,450.89300000000014,4.733680000000003,1.0,7.0,3.8601209135987635
